Symbol,Name,Industry,Rank,Mom,Pe,Pb,Div,Ps
A,Agilent Technologies Inc,Health Care,10,48.9,32.6,4.61983,0.86077,4.98166
AA,Alcoa Corp,Materials,65.3,17.4,27.3,1.3098,,0.69378
AAL,American Airlines Group Inc,Industrials,62.5,66.4,12.6,6.1386,0.79224,0.60092
AAN,Aaron's Inc,Consumer Discretionary,70.8,6.4,20.5,1.69577,0.31813,0.8118
AAOI,Applied Optoelectronics Inc,Information Technology,25.5,1.9,10.4,2.60513,,2.13961
AAP,Advance Auto Parts Inc.,Consumer Discretionary,58.6,36.4,21,2.30952,0.23762,0.79164
AAPL,Apple Inc,Information Technology,35.7,41.9,18.5,6.57186,1.4664,3.89027
AAXN,Axon Enterprise Inc,Industrials,19.5,71.3,94,7.91792,,3.95447
ABB,ABB Ltd,Industrials,54.5,60.8,24.7,3.85712,2.96263,1.61719
ABBV,AbbVie Inc,Health Care,37.2,92.1,23.4,23.13388,2.93025,5.66257
ABC,AmerisourceBergen Corp,Health Care,40.4,45.3,51.4,8.95645,1.79203,0.12079
ABEV,Ambev SA,Consumer Staples,13.1,24.7,34.7,6.52248,3.02717,6.74621
ABMD,ABIOMED Inc,Health Care,3.3,92.5,95.5,14.2376,,16.93627
ABR,Arbor Realty Trust Inc.,Financials,98.8,41.2,7.4,0.8958,8.85781,1.4487
ABT,Abbott Laboratories,Health Care,19.9,60,46.5,3.06311,1.88043,3.74891
ABX,Barrick Gold Corp,Materials,69,2.5,7.6,1.67164,0.87083,1.89795
ACC,American Campus Communities Inc,Real Estate,44.8,9.2,107,1.65034,4.1529,7.33142
ACCO,ACCO Brands Corp,Industrials,86.2,82.4,22.8,1.94288,,0.78268
ACET,Aceto Corp,Health Care,86.8,27.4,50,0.79287,2.45052,0.46105
ACGL,Arch Capital Group Ltd,Financials,43.4,22.1,30.4,1.62005,,2.36368
ACHC,Acadia Healthcare Co Inc,Health Care,43.6,0.9,16.4,1.11379,,0.98283
ACIA,Acacia Communications Inc,Information Technology,33.4,3,12.8,2.95557,,3.39609
